variable,variable_label,month,month_label,n_obs,avg_move,median_move,volatility,positive_hit_rate,min_move,max_move
gold_mom_pct,Gold MoM (%),1,Jan,11,3.511720541853354,3.0292779629898403,2.73192399279207,0.9090909090909091,-0.034314507649391146,9.496427176975807
gold_mom_pct,Gold MoM (%),2,Feb,11,2.4958050324132386,2.304554164036765,3.911388021212303,0.7272727272727273,-3.1081464635465683,9.585503373203409
gold_mom_pct,Gold MoM (%),3,Mar,12,0.6177583346466361,-0.2802754979239208,3.700770003501341,0.4166666666666667,-4.8819796577842745,6.811739459845212
gold_mom_pct,Gold MoM (%),4,Apr,12,2.4273125787205836,1.9728323313420337,3.516743354190652,0.6666666666666666,-2.9363517965061203,7.917523328286391
gold_mom_pct,Gold MoM (%),5,May,12,0.03899866134202867,-0.11290407688106519,2.5154308436563255,0.4166666666666667,-4.526053052955048,5.30027393736463
gold_mom_pct,Gold MoM (%),6,Jun,11,0.3393100419687636,-0.6627870375535139,2.3483214239882786,0.45454545454545453,-2.26655854357366,5.954587623455643
gold_mom_pct,Gold MoM (%),7,Jul,11,0.08986174890366536,-0.30459044664994384,3.8891412127566514,0.45454545454545453,-5.4524237106497235,6.176371891023691
gold_mom_pct,Gold MoM (%),8,Aug,11,1.4591212223673777,0.7663000824409183,3.237940475855455,0.6363636363636364,-2.9449367125579773,6.926492264376916
gold_mom_pct,Gold MoM (%),9,Sep,11,0.6899331359021271,-0.20150094450197553,3.543047681105071,0.45454545454545453,-4.587207700746698,8.887575787487801
gold_mom_pct,Gold MoM (%),10,Oct,11,0.8417951190941061,-0.18854534528383038,4.121478434397173,0.36363636363636365,-4.567835574991519,10.599824188614427
gold_mom_pct,Gold MoM (%),11,Nov,11,-0.24632721501848545,0.12627987922844142,2.970536861985284,0.5454545454545454,-6.378494215924723,3.750980225450662
gold_mom_pct,Gold MoM (%),12,Dec,11,0.3430767073790167,-0.31850693568010735,3.3763500457836506,0.45454545454545453,-6.877170078200079,5.609812091622124
usd_mxn_mom_pct,USD/MXN MoM (%),1,Jan,10,-0.9775219747230768,-1.4348771642635372,2.44007198040614,0.2,-4.530340210901107,4.209621517320228
usd_mxn_mom_pct,USD/MXN MoM (%),2,Feb,10,-0.9321354528505976,-0.3511696300675937,1.9034087831517854,0.4,-5.0169590972722,1.9601225365730501
usd_mxn_mom_pct,USD/MXN MoM (%),3,Mar,10,1.537787805159888,-0.01346591955208587,6.503990811603634,0.5,-5.02174186000881,18.90736989813235
usd_mxn_mom_pct,USD/MXN MoM (%),4,Apr,10,-0.7062530434381353,-1.500555154251526,3.185817522914351,0.2,-3.4118844862715436,7.895938381716494
usd_mxn_mom_pct,USD/MXN MoM (%),5,May,10,-0.23141623971996483,-0.3539856968766242,2.6566405338939236,0.3,-2.9827012262717556,6.449688282671762
usd_mxn_mom_pct,USD/MXN MoM (%),6,Jun,10,0.09167085013090488,0.17188346617661443,3.8682958661591997,0.5,-5.024930963147023,8.340625582069139
usd_mxn_mom_pct,USD/MXN MoM (%),7,Jul,10,-1.0972764749220132,-0.8545294468976949,2.2695017896466054,0.2,-6.313463139569675,2.588302192390679
