financial_outcome,macro_driver,n_obs,correlation
gross_margin,sofr_change_pp,30,-0.0461825142767212
gross_margin_change_pp,sofr_qavg,31,-0.04245372262340966
operating_margin,sofr_change_pp,30,-0.04102546228105549
sales_qoq_pct,tiie_28d_change_pp,33,0.03748779618283993
operating_income_to_financial_expense,usd_mxn_qoq_pct,37,0.03328652826238481
operating_income_to_financial_expense,mxn_appreciation_qoq,37,-0.03328652826238481
operating_margin,manganese_qoq_pct,18,-0.03162047216298119
sales_qoq_pct,manganese_qoq_pct,18,0.03101365509316837
operating_income_to_financial_expense,sofr_change_pp,29,0.03099071668973264
sales_qoq_pct,gold_usd_oz_qavg,43,-0.029842010284964252
operating_margin_change_pp,usd_mxn_qavg,39,0.017050042648366362
gross_margin_change_pp,usd_mxn_qavg,39,0.012007194986328115
net_sales,gold_usd_oz_qavg,44,-0.008752225572901609
gross_margin_change_pp,gold_usd_oz_qavg,43,-0.008425251618299863
operating_margin_change_pp,gold_usd_oz_qavg,43,0.008097410379567498
net_sales,mex_inflation_yoy_qavg,0,
net_sales,inflation_change_pp,0,
sales_qoq_pct,mex_inflation_yoy_qavg,0,
sales_qoq_pct,inflation_change_pp,0,
gross_margin,mex_inflation_yoy_qavg,0,
gross_margin,inflation_change_pp,0,
gross_margin_change_pp,mex_inflation_yoy_qavg,0,
gross_margin_change_pp,inflation_change_pp,0,
operating_margin,mex_inflation_yoy_qavg,0,
operating_margin,inflation_change_pp,0,
operating_margin_change_pp,mex_inflation_yoy_qavg,0,
operating_margin_change_pp,inflation_change_pp,0,
cost_of_sales_to_sales,mex_inflation_yoy_qavg,0,
cost_of_sales_to_sales,inflation_change_pp,0,
financial_expense_to_sales,mex_inflation_yoy_qavg,0,
financial_expense_to_sales,inflation_change_pp,0,
operating_income_to_financial_expense,mex_inflation_yoy_qavg,0,
operating_income_to_financial_expense,inflation_change_pp,0,
