period_end,cluster,regime_name,gross_margin,operating_margin,financial_expense_to_sales,net_margin,net_sales
2021-06-30,2,Tasas cero · Peso débil · Mang. alto,0.233649687528487,0.0925766492114778,0.093609780307711,-0.0427837818675363,98729000.0
2021-09-30,2,Tasas cero · Peso débil · Mang. alto,0.3419905076252198,0.1962962070654749,0.0398165771235373,0.1039021530504894,124521000.0
2021-12-31,2,Tasas cero · Peso débil · Mang. alto,0.1135730386903662,-0.0243893425963563,0.0261852850966335,-0.019068031484424,135305000.0
2022-03-31,2,Tasas cero · Peso débil · Mang. alto,0.3523922957376882,0.2463058266031438,0.0696988611755114,0.168199536317546,157004000.0
2022-06-30,2,Tasas cero · Peso débil · Mang. alto,0.2971696771440762,0.1767714407623382,0.012407907836723,0.1522969705589532,175775000.0
2022-09-30,2,Tasas cero · Peso débil · Mang. alto,0.3019508712347799,0.1631772250416481,,0.1048504846625372,155469000.0
2022-12-31,0,Tasas altas · Peso fuerte · Mang. bajo,0.0381004238285848,-0.1564560277843183,0.0546194372498234,-0.3070623381210266,135904000.0
2023-03-31,0,Tasas altas · Peso fuerte · Mang. bajo,0.1773406237063612,0.0129277632123637,0.1268542155374638,-0.1074927556230164,115952000.0
2023-06-30,0,Tasas altas · Peso fuerte · Mang. bajo,0.1385117417399918,-0.047969232562205,0.2254880251733582,-0.2259425441407843,85805000.0
2023-09-30,0,Tasas altas · Peso fuerte · Mang. bajo,0.1322270985073935,-0.063629731701386,0.0589747449599925,-0.1135029354207436,86359000.0
2023-12-31,0,Tasas altas · Peso fuerte · Mang. bajo,0.0725016498233718,-0.077121155264554,0.2895407668120237,0.0337210957415147,77281000.0
2024-03-31,0,Tasas altas · Peso fuerte · Mang. bajo,0.1583988018602695,-0.0061089361254893,0.1706429491053364,-0.166819937465514,76118000.0
2024-06-30,0,Tasas altas · Peso fuerte · Mang. bajo,0.1818418670981542,0.0021665798206401,0.0517099525546444,0.0748567040561665,72926000.0
2024-09-30,0,Tasas altas · Peso fuerte · Mang. bajo,0.2082371183472217,0.0301975614381491,0.078589516192006,0.0482246243432281,89643000.0
2024-12-31,1,Tasas altas · Peso débil · Mang. bajo,0.2247624182786277,0.038579227606659,0.1088494978769293,-0.1253487901866954,74185000.0
2025-03-31,1,Tasas altas · Peso débil · Mang. bajo,0.1583078554938541,-0.0135271728957384,0.0955138204280277,-0.0929306794783802,80135000.0
2025-06-30,1,Tasas altas · Peso débil · Mang. bajo,0.1487566339051487,-0.0127056661710127,0.1738052926171738,-0.1847822144851847,82719000.0
2025-09-30,1,Tasas altas · Peso débil · Mang. bajo,0.1912792774404245,0.0015308465581466,0.1406465275297239,-0.1360922590192376,78388000.0
2025-12-31,1,Tasas altas · Peso débil · Mang. bajo,0.1405084413034943,-0.0255079505300353,0.1157857283078131,-0.0560340596780526,81504000.0
