variable,variable_label,quarter,quarter_label,n_obs,avg_move,median_move,volatility,positive_hit_rate,min_move,max_move
sales_qoq_pct,Sales QoQ (%),1,Q1,10,0.052072313500917844,0.08395922474948903,0.11687602547899863,0.6,-0.14680951259712738,0.24424379901851778
sales_qoq_pct,Sales QoQ (%),2,Q2,11,-0.006793011359299953,0.032245585574343316,0.15361119731777456,0.5454545454545454,-0.2599955153856768,0.23991771223724956
sales_qoq_pct,Sales QoQ (%),3,Q3,11,0.04531115851035152,0.006456500203950721,0.1360593269638176,0.6363636363636364,-0.12458316221765908,0.261240365039654
sales_qoq_pct,Sales QoQ (%),4,Q4,11,-0.04430530682502907,-0.07869979495838864,0.14855263834731233,0.45454545454545453,-0.2355194918711031,0.2656733782439811
cost_qoq_pct,Cost of sales QoQ (%),1,Q1,10,-1.412605566999306,2.5502188120653413,13.143386011445317,0.6,-27.03134801034224,17.280172488741275
cost_qoq_pct,Cost of sales QoQ (%),2,Q2,11,0.1577411611072914,-3.2789609592718483,18.359228745362476,0.45454545454545453,-25.4723914744304,22.039293944361305
cost_qoq_pct,Cost of sales QoQ (%),3,Q3,11,2.946609172592839,1.379870129870131,13.410772630792211,0.6363636363636364,-19.063655830251115,25.161098021404026
cost_qoq_pct,Cost of sales QoQ (%),4,Q4,11,4.256155188653945,4.942107710277721,19.514972310736532,0.5454545454545454,-23.241256134144862,46.380101542667454
gross_margin_change_pp,Gross margin change (pp),1,Q1,10,0.05538547831627688,0.055177254983291964,0.0912451615847403,0.7,-0.0664545627847736,0.23881925704732201
gross_margin_change_pp,Gross margin change (pp),2,Q2,11,0.00016595467975902278,-0.007632843646476595,0.05304419976886379,0.45454545454545453,-0.06749325235937836,0.09520480244963689
gross_margin_change_pp,Gross margin change (pp),3,Q3,11,0.011341299231761125,0.026219163386761668,0.053022057343451175,0.6363636363636364,-0.06313206224588341,0.10834082009673282
gross_margin_change_pp,Gross margin change (pp),4,Q4,11,-0.06916185482096042,-0.0597254486840217,0.11078320690543873,0.2727272727272727,-0.2638504474061951,0.11482604704665753
operating_margin_change_pp,Operating margin change (pp),1,Q1,10,0.09390644316048395,0.0765352348843672,0.093138215242565,0.9,-0.0521064005023974,0.2706951691995001
operating_margin_change_pp,Operating margin change (pp),2,Q2,11,-0.010752241666117436,-0.0050796342543396045,0.054999380150229246,0.45454545454545453,-0.08339654930084889,0.08369884698494681
operating_margin_change_pp,Operating margin change (pp),3,Q3,11,0.004967563613226738,0.011031649212967787,0.047798203378622624,0.5454545454545454,-0.0721585130934681,0.1037195578539971
operating_margin_change_pp,Operating margin change (pp),4,Q4,11,-0.09029740286235749,-0.036338531895246606,0.11750245177304512,0.18181818181818182,-0.31963325282596644,0.0835002233941663
financial_expense_qoq_pct,Financial expense QoQ (%),1,Q1,10,125.05653410363463,73.03090208490963,204.17140018613208,0.6,-65.28606528606528,600.6956521739131
financial_expense_qoq_pct,Financial expense QoQ (%),2,Q2,11,-8.746808973300832,-20.42872454448017,62.38000981584064,0.2727272727272727,-80.06945079045965,113.19492502883506
financial_expense_qoq_pct,Financial expense QoQ (%),3,Q3,11,-0.8730035367418684,-16.043095004897157,69.90914779013123,0.2727272727272727,-73.67686582592516,165.56668970283343
financial_expense_qoq_pct,Financial expense QoQ (%),4,Q4,11,102.9039498509891,-1.756981690401327,212.43425205205472,0.45454545454545453,-92.51837876520722,612.25
