date,variable,label,unit,base_flat,trend_drift,low_80,high_80,is_forecast
2026-06-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.249882909655298,16.81922210757954,17.776542389278006,True
2026-07-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.208606491246382,16.627492914086776,17.981521104529705,True
2026-08-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.1674288412016,16.481857209471073,18.140408022601992,True
2026-09-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.126349723182884,16.36007205784189,18.275446079515003,True
2026-10-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.085368901417652,16.253523045777968,18.39524968881961,True
2026-11-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.04448614069752,16.157792766604473,18.504236257320258,True
2026-12-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,17.00370120637691,16.070257421926488,18.60502958354149,True
2027-01-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.963013864371714,15.989207683921554,18.69933899543539,True
2027-02-28,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.92242388115796,15.913456402788228,18.78835164293304,True
2027-03-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.881931023770452,15.842139333245692,18.8729317714449,True
2027-04-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.841535059801462,15.774604123700744,18.953731732693818,True
2027-05-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.801235757399372,15.710344026826293,19.031258274136544,True
2027-06-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.761032885267337,15.648956104665935,19.105914333859147,True
2027-07-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.720926212662,15.590113698453012,19.17802657075796,True
2027-08-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.680915509392108,15.53354762892473,19.24786416422545,True
2027-09-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.641000545817242,15.479032964409033,19.31565204606336,True
2027-10-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.601181092846478,15.426379464910296,19.381580456397007,True
2027-11-30,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.561456921937054,15.375424526146446,19.445811999638167,True
2027-12-31,usd_mxn,USD/MXN,MXN per USD,17.291258333333335,16.521827805093107,15.326027867851188,19.508486956182836,True
2026-06-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.963030540085553,4.675612910802331,5.27011324973655,True
2026-07-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.962090111040185,4.561134184820013,5.402386457707561,True
2026-08-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.961149860193759,4.475195751497878,5.506129992997766,True
2026-09-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.9602097875125075,4.404005471158312,5.59513599908806,True
2026-10-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.95926989296267,4.342224545763527,5.674743277820477,True
2026-11-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.958330176510496,4.287116615317617,5.747688192996141,True
2026-12-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.957390638122236,4.237057147895433,5.815595280346398,True
2027-01-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.95645127776415,4.190988310434217,5.87952237674117,True
2027-02-28,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.955512095402503,4.148175770749194,5.940203818173375,True
2027-03-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.954573091003569,4.108085185736982,5.9981739515555095,True
2027-04-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.9536342645336235,4.070313409966426,6.053835926128818,True
2027-05-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.952695615958953,4.034547425776478,6.107502763365412,True
2027-06-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.951757145245847,4.0005384543687805,6.159423245875685,True
2027-07-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.950818852360605,3.9680849063365797,6.209798966879403,True
2027-08-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.949880737269531,3.937020741368049,6.258795970502382,True
2027-09-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.948942799938935,3.9072072770393054,6.3065529429834655,True
2027-10-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.948005040335133,3.878527274431199,6.353187127057742,True
2027-11-30,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.947067458424448,3.8508805719096286,6.398798688176226,True
2027-12-31,manganese_ore_usd_dmtu,Manganese price,USD/dmtu,4.963971147363636,4.946130054173211,3.8241807989191905,6.443474000712209,True
