label,unit,date,base,low,high,drift
USD/MXN,MXN per USD,2027-12-31,17.291258333333335,15.326027867851188,19.508486956182836,16.521827805093107
Manganese price,USD/dmtu,2027-12-31,4.963971147363636,3.8241807989191905,6.443474000712209,4.946130054173211
