variable,label,unit,year,base_flat_avg,trend_drift_avg,low_80_avg,high_80_avg,base_flat_end,trend_drift_end,low_80_end,high_80_end,forecast_months
gold_usd_oz,Gold price,USD/oz,2026,4658.4400000000005,4956.14527042156,4272.672259351111,5082.058284038477,4658.4400000000005,5187.554490030322,4135.000721332326,5248.140132514358,7
gold_usd_oz,Gold price,USD/oz,2027,4658.4400000000005,5740.6170279460885,3954.252940029513,5490.57547068336,4658.4400000000005,6238.178710082493,3827.8714384456166,5669.22468075682,12
