model_name,sample_name,y_col,term,coef,p_value,std_err,t_stat,n_obs,r2,adj_r2,interpretation_unit,impact_per_1pct_driver,impact_per_100bps_driver
ln_sales ~ manganese_t,Full 2015-2025,ln_sales,const,15.433573745862132,6.074977706200204e-13,0.8059030678387562,19.1506576432962,19,0.4480124348017862,0.4155425780254207,raw coefficient,,
ln_sales ~ manganese_t,Full 2015-2025,ln_sales,ln_manganese,1.961035004218875,0.0017225869587561102,0.5279350525780642,3.7145383596761703,19,0.4480124348017862,0.4155425780254207,% sales per +1% driver,1.961035004218875,
ln_sales ~ manganese_t_minus_1,Full 2015-2025,ln_sales,const,14.761767289412788,3.128711267344626e-13,0.686592749314035,21.500033759693878,18,0.6407139206765944,0.6182585407188815,raw coefficient,,
ln_sales ~ manganese_t_minus_1,Full 2015-2025,ln_sales,ln_manganese_lag1,2.3951610828605006,6.615900789298528e-05,0.4483971572146826,5.3416063066469235,18,0.6407139206765944,0.6182585407188815,% sales per +1% driver,2.3951610828605006,
ln_sales ~ manganese_t_minus_2,Full 2015-2025,ln_sales,const,14.814171646254279,6.244079394646823e-12,0.7764976979512719,19.078191326697176,17,0.5892412756929666,0.5618573607391644,raw coefficient,,
ln_sales ~ manganese_t_minus_2,Full 2015-2025,ln_sales,ln_manganese_lag2,2.3428241088600252,0.000321359330082051,0.5050575557611258,4.638726977026154,17,0.5892412756929666,0.5618573607391644,% sales per +1% driver,2.3428241088600252,
ln_sales ~ manganese_t + lag1,Full 2015-2025,ln_sales,const,14.393214338896936,3.947183744470981e-12,0.7308762636987478,19.693093145558116,18,0.6766098616961962,0.6334911765890223,raw coefficient,,
ln_sales ~ manganese_t + lag1,Full 2015-2025,ln_sales,ln_manganese,0.7837607642701395,0.21646876339462784,0.6074053370361597,1.2903422417960762,18,0.6766098616961962,0.6334911765890223,% sales per +1% driver,0.7837607642701395,
ln_sales ~ manganese_t + lag1,Full 2015-2025,ln_sales,ln_manganese_lag1,1.857544115352318,0.007814786827345179,0.6055011697517666,3.067779565337328,18,0.6766098616961962,0.6334911765890223,% sales per +1% driver,1.857544115352318,
gross_margin ~ manganese_t,Full 2015-2025,gross_margin,const,-0.4856568362342718,0.09123269691422926,0.2712726190248022,-1.7902906602964919,19,0.26819799748778883,0.2251508208694235,raw coefficient,,
